order_id,product_id,quantity,price_per_item
1001,103,2,271.86
1001,104,3,304.21
1002,105,2,300.63
1002,102,1,263.72
1003,102,1,284.14
1004,102,3,290.5
1004,104,1,269.24
1005,103,2,264.75
1005,102,1,281.18
1006,104,3,300.54
1006,103,3,262.25
1007,103,1,272.75
1007,105,1,282.69
1007,103,3,275.96
1008,103,1,284.95
1008,105,4,306.32
1008,102,3,281.28
1009,103,1,288.89
1009,102,3,286.21
1010,105,3,269.22
1010,103,4,284.87
1011,102,4,269.35
1011,101,1,292.98
1012,102,2,277.37
1012,104,3,304.62
1012,103,2,295.59
1013,105,4,310.22
1013,105,2,294.61
1013,103,1,288.34
1014,103,3,292.68
1014,104,3,271.54
1015,105,3,271.44
1015,103,2,281.36
1015,104,2,264.79
1016,101,4,268.69
1016,103,4,303.4
1016,103,1,297.89
1017,104,3,294.82
1017,103,3,304.47
1017,103,4,277.58
1018,102,4,267.13
1018,104,1,290.3
1018,104,4,295.93
1019,103,1,293.44
1019,104,2,301.12
1020,101,1,271.69
