Date,Global_Price_USD_oz,USD_VND_Rate,Theoretical_Price_VND_Tael,VN_Spot_Price_VND_Tael,VN_Price_VND_Chi
2023-01-03,24.05900001525879,23610.0,684849.0,1234849.0,123485.0
2023-01-04,23.79199981689453,23515.0,674524.0,1224524.0,122452.0
2023-01-05,23.257999420166016,23510.0,659244.0,1209244.0,120924.0
2023-01-06,23.82200050354004,23475.0,674225.0,1224225.0,122423.0
2023-01-09,23.711999893188477,23460.0,670683.0,1220683.0,122068.0
2023-01-10,23.506999969482422,23447.0,664516.0,1214516.0,121452.0
2023-01-11,23.32699966430664,23445.0,659372.0,1209372.0,120937.0
2023-01-12,23.863000869750977,23440.0,674379.0,1224379.0,122438.0
2023-01-13,24.231000900268555,23438.0,684720.0,1234720.0,123472.0
2023-01-17,23.944000244140625,23434.0,676495.0,1226495.0,122649.0
2023-01-18,23.530000686645508,23427.0,664599.0,1214599.0,121460.0
2023-01-19,23.753999710083008,23437.0,671212.0,1221212.0,122121.0
2023-01-20,23.829999923706055,23440.0,673446.0,1223446.0,122345.0
2023-01-23,23.45199966430664,23440.0,662764.0,1212764.0,121276.0
2023-01-24,23.64900016784668,23440.0,668331.0,1218331.0,121833.0
2023-01-25,23.839000701904297,23440.0,673701.0,1223701.0,122370.0
2023-01-26,23.93000030517578,23440.0,676272.0,1226272.0,122627.0
2023-01-27,23.527000427246094,23440.0,664883.0,1214883.0,121488.0
2023-01-30,23.645000457763672,23460.0,668788.0,1218788.0,121879.0
2023-01-31,23.74799919128418,23470.0,671988.0,1221988.0,122199.0
2023-02-01,23.520999908447266,23445.0,664856.0,1214856.0,121486.0
2023-02-02,23.534000396728516,23440.0,665081.0,1215081.0,121508.0
2023-02-03,22.333999633789062,23449.0,631411.0,1181411.0,118141.0
2023-02-06,22.177000045776367,23440.0,626732.0,1176732.0,117673.0
2023-02-07,22.117000579833984,23480.0,626103.0,1176103.0,117610.0
2023-02-08,22.367000579833984,23600.0,636416.0,1186416.0,118642.0
2023-02-09,22.097000122070312,23590.0,628467.0,1178467.0,117847.0
2023-02-10,22.034000396728516,23560.0,625878.0,1175878.0,117588.0
2023-02-13,21.81800079345703,23565.0,619874.0,1169874.0,116987.0
2023-02-14,21.841999053955078,23595.0,621346.0,1171346.0,117135.0
2023-02-15,21.54599952697754,23600.0,613056.0,1163056.0,116306.0
2023-02-16,21.68400001525879,23615.0,617374.0,1167374.0,116737.0
2023-02-17,21.694000244140625,23680.0,619359.0,1169359.0,116936.0
2023-02-21,21.868999481201172,23725.0,625542.0,1175542.0,117554.0
2023-02-22,21.660999298095703,23705.0,619070.0,1169070.0,116907.0
2023-02-23,21.298999786376953,23780.0,610650.0,1160650.0,116065.0
2023-02-24,20.805999755859375,23815.0,597393.0,1147393.0,114739.0
2023-02-27,20.670000076293945,23780.0,592616.0,1142616.0,114262.0
2023-02-28,20.961000442504883,23805.0,601591.0,1151591.0,115159.0
2023-03-01,20.958999633789062,23740.0,599891.0,1149891.0,114989.0
2023-03-02,20.766000747680664,23710.0,593616.0,1143616.0,114362.0
2023-03-03,21.093000411987305,23700.0,602709.0,1152709.0,115271.0
2023-03-06,20.983999252319336,23710.0,599848.0,1149848.0,114985.0
2023-03-07,20.054000854492188,23650.0,571812.0,1121812.0,112181.0
2023-03-08,20.0049991607666,23640.0,570174.0,1120174.0,112017.0
2023-03-09,20.024999618530273,23710.0,572434.0,1122434.0,112243.0
2023-03-10,20.375,23680.0,581702.0,1131702.0,113170.0
2023-03-13,21.792999267578125,23660.0,621660.0,1171660.0,117166.0
2023-03-14,21.929000854492188,23570.0,623160.0,1173160.0,117316.0
2023-03-15,21.77400016784668,23570.0,618755.0,1168755.0,116876.0
2023-03-16,21.58799934387207,23565.0,613340.0,1163340.0,116334.0
2023-03-17,22.35099983215332,23560.0,634883.0,1184883.0,118488.0
2023-03-20,22.533000946044922,23570.0,640324.0,1190324.0,119032.0
2023-03-21,22.323999404907227,23570.0,634385.0,1184385.0,118438.0
2023-03-22,22.674999237060547,23570.0,644359.0,1194359.0,119436.0
2023-03-23,23.143999099731445,23510.0,656013.0,1206013.0,120601.0
2023-03-24,23.246999740600586,23490.0,658372.0,1208372.0,120837.0
2023-03-27,23.054000854492188,23510.0,653462.0,1203462.0,120346.0
2023-03-28,23.323999404907227,23500.0,660834.0,1210834.0,121083.0
2023-03-29,23.375999450683594,23480.0,661743.0,1211743.0,121174.0
2023-03-30,23.902000427246094,23480.0,676634.0,1226634.0,122663.0
2023-03-31,24.076000213623047,23470.0,681269.0,1231269.0,123127.0
2023-04-03,23.94099998474121,23450.0,676872.0,1226872.0,122687.0
2023-04-04,25.02199935913086,23470.0,708038.0,1258038.0,125804.0
2023-04-05,24.96299934387207,23460.0,706067.0,1256067.0,125607.0
2023-04-06,25.024999618530273,23465.0,707972.0,1257972.0,125797.0
2023-04-10,24.84600067138672,23442.0,702219.0,1252219.0,125222.0
2023-04-11,25.131000518798828,23442.0,710274.0,1260274.0,126027.0
2023-04-12,25.40399932861328,23445.0,718081.0,1268081.0,126808.0
2023-04-13,25.874000549316406,23442.0,731273.0,1281273.0,128127.0
2023-04-14,25.423999786376953,23440.0,718493.0,1268493.0,126849.0
2023-04-17,25.05299949645996,23440.0,708009.0,1258009.0,125801.0
2023-04-18,25.24799919128418,23485.0,714889.0,1264889.0,126489.0
2023-04-19,25.365999221801758,23505.0,718842.0,1268842.0,126884.0
2023-04-20,25.368000030517578,23511.0,719082.0,1269082.0,126908.0
2023-04-21,25.05299949645996,23488.0,709459.0,1259459.0,125946.0
2023-04-24,25.305999755859375,23485.0,716532.0,1266532.0,126653.0
2023-04-25,24.87700080871582,23494.0,704655.0,1254655.0,125465.0
2023-04-26,24.871000289916992,23473.0,703855.0,1253855.0,125385.0
2023-04-27,24.982999801635742,23465.0,706783.0,1256783.0,125678.0
2023-04-28,24.999000549316406,23445.0,706633.0,1256633.0,125663.0
2023-05-01,25.009000778198242,23450.0,707067.0,1257067.0,125707.0
2023-05-02,25.40399932861328,23450.0,718234.0,1268234.0,126823.0
2023-05-03,25.47599983215332,23450.0,720270.0,1270270.0,127027.0
2023-05-04,26.03499984741211,23450.0,736074.0,1286074.0,128607.0
2023-05-05,25.743000030517578,23445.0,727664.0,1277664.0,127766.0
2023-05-08,25.63599967956543,23440.0,724485.0,1274485.0,127448.0
2023-05-09,25.697999954223633,23443.0,726330.0,1276330.0,127633.0
2023-05-10,25.461000442504883,23460.0,720153.0,1270153.0,127015.0
2023-05-11,24.2549991607666,23465.0,686188.0,1236188.0,123619.0
2023-05-12,23.992000579833984,23465.0,678748.0,1228748.0,122875.0
2023-05-15,24.12700080871582,23450.0,682130.0,1232130.0,123213.0
2023-05-16,23.73699951171875,23452.0,671161.0,1221161.0,122116.0
2023-05-17,23.75200080871582,23450.0,671528.0,1221528.0,122153.0
2023-05-18,23.4950008392334,23450.0,664262.0,1214262.0,121426.0
2023-05-19,23.920000076293945,23450.0,676278.0,1226278.0,122628.0
2023-05-22,23.71500015258789,23460.0,670768.0,1220768.0,122077.0
2023-05-23,23.474000930786133,23438.0,663329.0,1213329.0,121333.0
2023-05-24,23.114999771118164,23470.0,654076.0,1204076.0,120408.0
2023-05-25,22.785999298095703,23470.0,644766.0,1194766.0,119477.0
2023-05-26,23.239999771118164,23470.0,657613.0,1207613.0,120761.0
2023-05-30,23.125,23465.0,654220.0,1204220.0,120422.0
2023-05-31,23.474000930786133,23480.0,664518.0,1214518.0,121452.0
2023-06-01,23.875,23485.0,676013.0,1226013.0,122601.0
2023-06-02,23.64299964904785,23485.0,669444.0,1219444.0,121944.0
2023-06-05,23.534000396728516,23475.0,666074.0,1216074.0,121607.0
2023-06-06,23.573999404907227,23495.0,667775.0,1217775.0,121777.0
2023-06-07,23.43899917602539,23485.0,663668.0,1213668.0,121367.0
2023-06-08,24.263999938964844,23485.0,687028.0,1237028.0,123703.0
2023-06-09,24.333999633789062,23490.0,689156.0,1239156.0,123916.0
2023-06-12,23.985000610351562,23470.0,678694.0,1228694.0,122869.0
2023-06-13,23.756000518798828,23480.0,672501.0,1222501.0,122250.0
2023-06-14,24.04400062561035,23495.0,681088.0,1231088.0,123109.0
2023-06-15,23.891000747680664,23500.0,676898.0,1226898.0,122690.0
2023-06-16,24.076000213623047,23525.0,682866.0,1232866.0,123287.0
2023-06-20,23.19300079345703,23520.0,657681.0,1207681.0,120768.0
2023-06-21,22.77400016784668,23520.0,645800.0,1195800.0,119580.0
2023-06-22,22.43600082397461,23505.0,635809.0,1185809.0,118581.0
2023-06-23,22.327999114990234,23515.0,633018.0,1183018.0,118302.0
2023-06-26,22.80500030517578,23515.0,646541.0,1196541.0,119654.0
2023-06-27,22.93899917602539,23530.0,650755.0,1200755.0,120076.0
2023-06-28,22.868000030517578,23520.0,648465.0,1198465.0,119847.0
2023-06-29,22.590999603271484,23555.0,641564.0,1191564.0,119156.0
2023-06-30,22.809999465942383,23569.0,648168.0,1198168.0,119817.0
2023-07-03,22.895999908447266,23575.0,650778.0,1200778.0,120078.0
2023-07-05,23.19700050354004,23700.0,662829.0,1212829.0,121283.0
2023-07-06,22.68600082397461,23745.0,649458.0,1199458.0,119946.0
2023-07-07,23.091999053955078,23710.0,660107.0,1210107.0,121011.0
2023-07-10,23.150999069213867,23635.0,659700.0,1209700.0,120970.0
2023-07-11,23.086000442504883,23640.0,657987.0,1207987.0,120799.0
2023-07-12,24.118999481201172,23690.0,688883.0,1238883.0,123888.0
2023-07-13,24.76799964904785,23660.0,706524.0,1256524.0,125652.0
2023-07-14,25.013999938964844,23665.0,713692.0,1263692.0,126369.0
2023-07-17,24.8439998626709,23630.0,707793.0,1257793.0,125779.0
2023-07-18,25.083999633789062,23630.0,714631.0,1264631.0,126463.0
2023-07-19,25.2189998626709,23635.0,718629.0,1268629.0,126863.0
2023-07-20,24.80500030517578,23630.0,706682.0,1256682.0,125668.0
2023-07-21,24.697999954223633,23647.0,704140.0,1254140.0,125414.0
2023-07-24,24.43600082397461,23656.0,696936.0,1246936.0,124694.0
2023-07-25,24.68000030517578,23665.0,704163.0,1254163.0,125416.0
2023-07-26,24.825000762939453,23655.0,708000.0,1258000.0,125800.0
2023-07-27,24.236000061035156,23665.0,691494.0,1241494.0,124149.0
2023-07-28,24.3700008392334,23661.0,695200.0,1245200.0,124520.0
2023-07-31,24.854000091552734,23685.0,709726.0,1259726.0,125973.0
2023-08-01,24.20800018310547,23680.0,691133.0,1241133.0,124113.0
2023-08-02,23.753999710083008,23680.0,678172.0,1228172.0,122817.0
2023-08-03,23.586000442504883,23735.0,674939.0,1224939.0,122494.0
2023-08-04,23.617000579833984,23750.0,676254.0,1226254.0,122625.0
2023-08-07,23.142000198364258,23725.0,661955.0,1211955.0,121195.0
2023-08-08,22.716999053955078,23720.0,649661.0,1199661.0,119966.0
2023-08-09,22.649999618530273,23730.0,648018.0,1198018.0,119802.0
2023-08-10,22.746000289916992,23735.0,650902.0,1200902.0,120090.0
2023-08-11,22.673999786376953,23740.0,648978.0,1198978.0,119898.0
2023-08-14,22.643999099731445,23750.0,648393.0,1198393.0,119839.0
2023-08-15,22.594999313354492,23815.0,648760.0,1198760.0,119876.0
2023-08-16,22.479999542236328,23965.0,649524.0,1199524.0,119952.0
2023-08-17,22.670000076293945,23935.0,654193.0,1204193.0,120419.0
2023-08-18,22.69499969482422,23850.0,652589.0,1202589.0,120259.0
2023-08-21,23.304000854492188,23850.0,670101.0,1220101.0,122010.0
2023-08-22,23.420000076293945,23850.0,673436.0,1223436.0,122344.0
2023-08-23,24.363000869750977,23850.0,700552.0,1250552.0,125055.0
2023-08-24,24.211000442504883,23900.0,697641.0,1247641.0,124764.0
2023-08-25,24.219999313354492,23900.0,697900.0,1247900.0,124790.0
2023-08-28,24.238000869750977,23975.0,700611.0,1250611.0,125061.0
2023-08-29,24.777000427246094,24080.0,719327.0,1269327.0,126933.0
2023-08-30,24.733999252319336,24180.0,721061.0,1271061.0,127106.0
2023-08-31,24.472000122070312,24110.0,711358.0,1261358.0,126136.0
2023-09-01,24.23200035095215,24060.0,702920.0,1252920.0,125292.0
2023-09-05,23.558000564575195,24060.0,683369.0,1233369.0,123337.0
2023-09-06,23.20599937438965,24050.0,672878.0,1222878.0,122288.0
2023-09-07,22.950000762939453,24055.0,665594.0,1215594.0,121559.0
2023-09-08,22.892000198364258,24060.0,664050.0,1214050.0,121405.0
2023-09-11,23.10300064086914,24055.0,670031.0,1220031.0,122003.0
2023-09-12,23.12700080871582,24075.0,671285.0,1221285.0,122128.0
2023-09-13,22.91200065612793,24100.0,665735.0,1215735.0,121573.0
2023-09-14,22.74799919128418,24080.0,660421.0,1210421.0,121042.0
2023-09-15,23.125999450683594,24220.0,675299.0,1225299.0,122530.0
2023-09-18,23.23200035095215,24250.0,679234.0,1229234.0,122923.0
2023-09-19,23.194000244140625,24370.0,681479.0,1231479.0,123148.0
2023-09-20,23.57900047302246,24370.0,692791.0,1242791.0,124279.0
2023-09-21,23.444000244140625,24270.0,685998.0,1235998.0,123600.0
2023-09-22,23.59600067138672,24310.0,691583.0,1241583.0,124158.0
2023-09-25,23.145000457763672,24360.0,679760.0,1229760.0,122976.0
2023-09-26,22.950000762939453,24380.0,674587.0,1224587.0,122459.0
2023-09-27,22.476999282836914,24380.0,660683.0,1210683.0,121068.0
2023-09-28,22.514999389648438,24385.0,661936.0,1211936.0,121194.0
2023-09-29,22.236000061035156,24385.0,653733.0,1203733.0,120373.0
2023-10-02,21.218000411987305,24280.0,621118.0,1171118.0,117112.0
2023-10-03,21.17799949645996,24340.0,621479.0,1171479.0,117148.0
2023-10-04,20.95599937438965,24385.0,616102.0,1166102.0,116610.0
2023-10-05,20.847999572753906,24420.0,613806.0,1163806.0,116381.0
2023-10-06,21.540000915527344,24380.0,633141.0,1183141.0,118314.0
2023-10-09,21.740999221801758,24360.0,638525.0,1188525.0,118853.0
2023-10-10,21.775999069213867,24370.0,639816.0,1189816.0,118982.0
2023-10-11,21.957000732421875,24390.0,645663.0,1195663.0,119566.0
2023-10-12,21.79199981689453,24440.0,642125.0,1192125.0,119212.0
2023-10-13,22.726999282836914,24435.0,669539.0,1219539.0,121954.0
2023-10-16,22.610000610351562,24440.0,666228.0,1216228.0,121623.0
2023-10-17,22.863000869750977,24460.0,674234.0,1224234.0,122423.0
